label,count
Falla en el sistema de alarmas,1
Daño en tarjeta de fuente de poder,1
Falla en la tubería de entrada y salida,1
Fallo en el sistema de baterías,1
Falla en la centrífuga,1
Ruptura en la celda de la báscula,1
Falla en el sistema de rectificación,1
Mal estado de los componentes eléctricos,1
Desajuste en el regulador de frecuencia,1
Elemento en mal estado,1
Información insuficiente sobre el cierre,1
Pérdida de presión en la bomba,1
Fallo en el modem del sistema,1
Información insuficiente sobre la obstrucción,1
Ruptura del pasador del piñón,1
Información insuficiente sobre el daño,1
Fisura en el radiador,1
Fallo en el cierre de la válvula,1
Limpieza de contactores insuficiente,1
Rotura de correa,1
Inundación del sitio,1
Daño físico en el material,1
Daño físico en el componente,1
Falla en el bypass o inversor,1
Oscilación de frecuencia,1
Fallo en el mecanismo de protección,1
Daño en el plato de cierre,1
Falla en la operación de la válvula,1
Falla en el sistema de corte,1
Falla en el soporte de la trampa,1
Fisura o rotura en el puente grúa,1
Desbalance en componentes de medición,1
Falla en el fuelle interno del regulador,1
Fallo en la señalización del detector,1
Fallo en el motor eléctrico,1
Vaso roto,1
Alta vibración,1
Cambio de reflectores por condición,1
Daño en los vanes,1
Daño en el material,1
Falla en el hardware de la pantalla HMI,1
Fallo en el contador de flujo,1
Resortes en mal estado,1
Daño en la manguera flexible,1
Falla en el vástago,1
Falla en el sistema de alumbrado,1
Falla en el sistema de agua potable,1
Falla en el radar BPC,1
Falla en la configuración de señales,1
Atasco en el mecanismo,1
Frecuencia equivocada,1
Fuga en el sistema de refrigerante,1
Modos de falla no especificados en el sistema,1
Falla en la tarjeta principal del display,1
Falla en el generador de arranque,1
Interferencia eléctrica (tormenta),1
Falla en el indicador de encendido,1
Falta de datos sobre el estado del generador,1
Falla en el inversor del UPS,1
Falla en el sistema de alivio de presión,1
Desbalance en componentes del tanque,1
Falla en el switch de señal,1
Daño en el generador,1
Daño en la trampa de despacho,1
Falla en el regulador de aire,1
Daño en componentes del sistema de aterrizaje,1
Desajuste en piezas,1
Daño considerable en el motor,1
Ruido anormal en el sistema,1
Piezas sueltas en la línea de vida,1
Pérdida de estado en la señal,1
Fallo en el pit,1
Falla en el sistema de raspado,1
Daño en el cargador,1
Daño en el aislamiento,1
Falla en la acometida eléctrica,1
Falla en la electrovalvula o restricción en el flujo,1
Desbalance en componentes del agitador,1
Falla en el micro switch,1
Falla en la fuente de 24 VDC,1
Falta de presión en el sistema,1
Fuga en la bomba de trasiego,1
Fuga en la válvula de alivio,1
Falla en el módulo electrónico,1
Sedimento crudo en la línea de succión,1
Falta de componentes en el sistema,1
Daño considerable en la estructura,1
Falla en el sistema de control (no especificado),1
Fallo en el panel de visualización,1
Falla en el asiento de la válvula,1
Falla en el sistema de señal del motor,1
Fuga en el compresor de aire,1
Desbalance en componentes mecánicos,1
Falla en el contactor del compresor,1
Daño mecánico en el niple,1
Falla en el inyector,1
Desajuste de tornillería,1
Baja potencia en el sistema,1
Falla en la señal de emergencia,1
Fuga de gas refrigerante,1
Fuga en el sistema de dilución,1
Falla en el parámetro de medición,1
Falla en la estructura de la caseta,1
Fuga por fisura en el piting,1
Falla en el indicador de aire,1
Filtro saturado,1
Palanca fuera de rango,1
Fallo del sistema,1
Desbalance térmico,1
Falla en el indicador luminoso,1
Fuga por mal ajuste de componentes,1
Defecto en el indicador,1
Desajuste en los límites de operación,1
Desfase en el eje,1
Eje roto,1
Elemento sólido en la tubería,1
Fuga en el sistema de generación,1
Falla en la bomba o en el sistema de flujo,1
Bloqueo en la tubería por agente interno,1
Fuga en la válvula reguladora de aire,1
Daño en el filtro o en el regulador de aire,1
Fuga en la válvula de alivio de nitrógeno,1
Fuga en la trampa de recepción,1
Bajas temperaturas que afectan la válvula,1
Desajuste de piezas mecánicas,1
Error en el indicador de presión,1
Falla en el sistema de bombeo o flujo insuficiente,1
Falla en el relé de protección,1
Baja carga de refrigerante,1
Sedimentación en la válvula,1
Falta de ventiladores en el motor,1
Falla en el horómetro,1
Falla en la configuración,1
Falla en los contactores,1
Falla en el relé térmico,1
Problemas en el sistema de generación,1
Daño en la válvula mariposa,1
Falla en tarjetas de potencia,1
Falla en el sistema hidráulico,1
Mal estado del transmisor,1
Falla en el sistema de recuperación,1
Partes averiadas en reflectores,1
Fallo en el regulador,1
Fallo en el generador,1
Defecto en el sistema de cierre,1
Condiciones operativas fuera de rango,1
Defecto en componentes eléctricos,1
